NAME,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
ALTON,0.631666667,0.786451613,0.616129032,0.370967742,0.321935484,0.22483871,0.526774194,0.646129032,0.63,0.757741935,0.749333333,0.769666667
BLACK_ROCK,0.250645161,0.326129032,0.357096774,0.415806452,0.336774194,0.253666667,0.327419355,0.379655172,0.400322581,0.478709677,0.352903226,0.380967742
BLANDING,0.528387097,0.430322581,0.366774194,0.288333333,0.351935484,0.207741935,0.466774194,0.523870968,0.589354839,0.565806452,0.423,0.514193548
BLUFF,0.331612903,0.284,0.233225806,0.171,0.214333333,0.135666667,0.295806452,0.486451613,0.477419355,0.395483871,0.279354839,0.306129032
BOULDER,0.417741935,0.429354839,0.405806452,0.281612903,0.282333333,0.264193548,0.451290323,0.587419355,0.686333333,0.636451613,0.300645161,0.362580645
BOUNTIFUL_BENCH,0.816129032,0.743225806,0.939354839,0.988064516,0.836129032,0.571935484,0.359677419,0.562580645,0.596774194,0.829032258,0.862903226,0.886774194
CALLAO,0.276774194,0.202580645,0.292258065,0.350322581,0.321612903,0.189677419,0.215483871,0.28483871,0.293548387,0.304333333,0.277,0.211612903
CANYONLANDS_THE_NECK,0.235833333,0.297,0.283793103,0.297666667,0.395862069,0.242666667,0.397666667,0.590645161,0.43483871,0.525862069,0.319,0.321071429
DEER_CREEK_DAM,1.067096774,0.73,0.603548387,0.549,0.549032258,0.43516129,0.338,0.464516129,0.549310345,0.773870968,0.72483871,0.950967742
DESERET,0.271612903,0.261666667,0.371935484,0.340666667,0.334,0.261290323,0.176129032,0.272580645,0.360322581,0.443225806,0.272758621,0.330322581
ECHO_DAM,0.441290323,0.333225806,0.401612903,0.480967742,0.563225806,0.435483871,0.381612903,0.405483871,0.469677419,0.537741935,0.529354839,0.483548387
EPHRAIM,0.38125,0.3575,0.416153846,0.378148148,0.445769231,0.284,0.298571429,0.344583333,0.399655172,0.426428571,0.37037037,0.447916667
ESCALANTE,0.405483871,0.403,0.381935484,0.242903226,0.229354839,0.266774194,0.419333333,0.571290323,0.555483871,0.580967742,0.289677419,0.37483871
HANS_FLAT_RANGER_STATION,0.295483871,0.288709677,0.309,0.30483871,0.293870968,0.221290323,0.441612903,0.50516129,0.428387097,0.513225806,0.349354839,0.357741935
JENSEN,0.258387097,0.22,0.298064516,0.31483871,0.337333333,0.266774194,0.234333333,0.308064516,0.500645161,0.461290323,0.286451613,0.286666667
KAMAS,0.543225806,0.441724138,0.506296296,0.447083333,0.575185185,0.377857143,0.439310345,0.520689655,0.608064516,0.484,0.572068966,0.394444444
KANAB,0.498387097,0.692903226,0.520322581,0.382666667,0.229032258,0.155483871,0.592,0.671,0.68483871,0.67516129,0.586451613,0.556451613
MANTI,0.350322581,0.33516129,0.463870968,0.415806452,0.496129032,0.394666667,0.290322581,0.380967742,0.421935484,0.498709677,0.432580645,0.46483871
NEPHI,0.437096774,0.402580645,0.463225806,0.484333333,0.544482759,0.309666667,0.248,0.401724138,0.425806452,0.484516129,0.451,0.487931034
PROVO_BYU,0.569354839,0.507741935,0.513870968,0.527096774,0.615806452,0.414516129,0.268387097,0.428064516,0.490645161,0.579677419,0.508387097,0.654193548
RICHMOND,0.575806452,0.525806452,0.599354839,0.704333333,0.726774194,0.489310345,0.324516129,0.422580645,0.672580645,0.739354839,0.516333333,0.56
SALT_LAKE_CITY_INTERNATIONAL_AIRPORT,0.449354839,0.409677419,0.586451613,0.604193548,0.528064516,0.426451613,0.286451613,0.327741935,0.473225806,0.496129032,0.519677419,0.476129032
TOOELE,0.569677419,0.631935484,0.764193548,0.695483871,0.777741935,0.426129032,0.363548387,0.352580645,0.477419355,0.569354839,0.57,0.583666667
WANSHIP_DAM,0.405333333,0.342903226,0.427096774,0.515333333,0.529032258,0.410322581,0.426129032,0.498064516,0.57516129,0.518666667,0.473870968,0.437333333
WOODRUFF,0.238064516,0.262258065,0.298333333,0.374193548,0.520689655,0.39,0.306774194,0.419677419,0.486774194,0.494666667,0.303870968,0.233870968
ZION_NATIONAL_PARK,0.630967742,0.735806452,0.638064516,0.577741935,0.315806452,0.132,0.501935484,0.688064516,0.529677419,0.626,0.591612903,0.606129032
