NAME,Fall,Spring,Summer,Winter,ELEVATION,HEADER
ALTON,4.747,4.651935484,3.751935484,8.286451613,2163.5,"Alton, UT"
BLACK_ROCK,2.107096774,2.42516129,1.717931034,2.091290323,1498.4,"Black Rock, UT"
BLANDING,3.332,2.962903226,2.51483871,4.621935484,1839.5,"Blanding, UT"
BLUFF,1.956129032,1.302,1.706774194,1.969333333,1316.4,"Bluff, UT"
BOULDER,3.466451613,2.849,3.103548387,4.341935484,2026.9,"Boulder, UT"
BOUNTIFUL_BENCH,6.44483871,12.03548387,2.963548387,10.9816129,1508.8,"Bountiful, UT"
CALLAO,1.405,2.170967742,1.220322581,1.530322581,1323.4,"Callao, UT"
CANYONLANDS_THE_NECK,2.734193548,2.369655172,2.345483871,1.941666667,1789.5,"Island in the Sky Visitor Center,  Canyonlands National Park"
DEER_CREEK_DAM,5.165806452,4.68483871,2.616451613,9.304482759,1606.3,"Deer Creek Dam, Wallsburg, UT"
DESERET,2.124482759,2.894666667,1.286451613,2.744333333,1399.6,"Deseret, UT"
ECHO_DAM,4.291290323,5.378709677,2.516129032,5.715483871,1667.3,"Echo Dam, Coalville, UT"
EPHRAIM,2.912258065,3.362142857,1.886206897,3.420333333,1675.8,"Ephraim, UT"
ESCALANTE,2.856774194,1.921935484,2.913225806,3.520333333,1770.9,"Escalante, UT"
HANS_FLAT_RANGER_STATION,2.967419355,3.286129032,2.311612903,2.930645161,2011.7,"Hans Flat Ranger Station, Canyonlands National Park"
JENSEN,2.726774194,2.039666667,1.496129032,2.149,1449.3,"Jensen, UT"
KAMAS,4.915666667,5.265,2.672758621,7.34,1975.4,"Kamas, UT"
KANAB,3.789032258,2.895806452,2.856,5.233225806,1493.5,"Kanab, UT"
MANTI,3.346774194,4.617741935,2.222258065,4.107096774,1749.6,"Manti, UT"
NEPHI,3.486333333,4.570689655,1.923666667,4.593548387,1568.5,"Nephi, UT"
PROVO_BYU,4.224516129,5.749677419,1.975483871,7.194193548,1392.9,"BYU Campus, Provo, UT"
RICHMOND,4.824333333,7.712580645,2.362258065,6.826774194,1426.5,"Richmond, UT"
SALT_LAKE_CITY_INTERNATIONAL_AIRPORT,3.610322581,6.062258065,1.903548387,5.73483871,1288.4,Salt Lake City International Airport
TOOELE,3.995806452,7.723225806,2.374516129,6.787419355,1506.9,"Tooele, UT"
WANSHIP_DAM,4.992580645,5.977096774,2.820645161,5.846451613,1810.5,"Wanship Dam, Coalville, UT"
WOODRUFF,3.062580645,3.247241379,2.26483871,2.949677419,1924.8,"Woodruff, UT"
ZION_NATIONAL_PARK,3.381290323,3.686451613,2.600967742,5.44483871,1230.8,Zion National Park
