NAME,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ALTON ,57.46666667,53.025,59.88333333,57.71666667,59.78333333,58.73333333,56.7,57.93333333,57.75,60.9,60.26666667,61.98333333,58.23333333,58.61666667,58.28,60.9,59.53333333,59.48333333,59.35,58.6,60.98333333,59.43333333,59.91666667,60.4,60.26666667,59.96666667,61.25,57.66666667,62.46666667,61.7,60.88333333
BLACK_ROCK ,64.16666667,61.51666667,64.95,61.61666667,63.86666667,63.38333333,61.98333333,62.63333333,64.71666667,65.18333333,63.63333333,65.3,63.8,62.75,64.15,64.91666667,63.71666667,63.96666667,62.88333333,63.55,65.91666667,64.8,65.76666667,66.41666667,66.63333333,65.13333333,66.91666667,62.65,65.03333333,65.6,66.06666667
BLANDING ,66.21666667,64.66666667,67.88333333,64.71666667,68.03333333,66.45,67.28333333,65.48333333,68.48333333,68.68333333,68.1,69.66666667,66.48333333,67.25,67.11666667,68.46666667,67.25,67.38333333,67.01666667,67.13333333,67.85,66.28333333,67.01666667,66.2,66.75,67.01666667,68.3,65.05,68.4,67.36666667,69.175
BLUFF ,67.06,66.38333333,73.28,66.16666667,69.23333333,68.15,70.95,69.3,72.73333333,73.05,71.26666667,72.55,70.15,69.88333333,70.33333333,71.16666667,69.21666667,70.72,69.88333333,69.6,71.5,70.1,70.55,69.4,70.05,69.88333333,71.8,68.2,70.58333333,71.6,71.75
BOULDER ,62.98333333,62.22,64.96666667,62.31666667,64.38333333,62.76666667,61.61666667,62.25,62.96666667,64.68333333,64.05,67.24,62.3,63.56,64.06,64.92,63.21666667,62.63333333,62.05,62.25,64.98333333,62.8,63.8,63.35,63.58333333,64.4,65.1,61.58333333,66.46666667,64.86666667,64.3
BOUNTIFUL_BENCH ,67.31666667,63.03333333,68.08333333,64.1,65.8,66.08333333,65.06666667,64.51666667,66.81666667,68.16666667,65.71666667,67.95,65.76666667,65.45,66.35,67.33333333,65.25,64.38333333,64.4,65.13333333,67.66666667,66.41666667,66.6,67.48333333,66.9,65.31666667,66.86666667,63.23333333,66.76666667,67.7,68.08333333
CALLAO ,63.7,62.43333333,65.98333333,62.06666667,,64.3,63.61666667,63.16666667,65.66666667,66.43333333,64.56666667,66.96666667,64.48333333,63.65,63.34,65.46666667,62.95,62.8,62.53333333,62.5,65.93333333,66.08333333,64.33333333,65.3,64.83333333,63.5,65.03333333,61.35,64.78333333,64.21666667,64.88333333
CANYONLANDS_THE_NECK ,67.03333333,65.8,69.98333333,66.18333333,69.73333333,67.55,68.03333333,66.65,70.03333333,70.38333333,69.16666667,71.05,68.01666667,68.16666667,68.46666667,69.6,66.3,66.63333333,68.15,67.85,71.01666667,69.03333333,68.93333333,68.65,69.78333333,69.51666667,71.11666667,67.63333333,71.43333333,70.08333333,70.11666667
DEER_CREEK_DAM ,58.31666667,55.84,59.05,51.075,57.25,60.16,57.16666667,56.65,58.66,54.13333333,57.93333333,59.3,57.58333333,57.15,58.51666667,59.66666667,57.4,57.31666667,57.55,57.35,59.61666667,59.15,59.18333333,60.26666667,59.68333333,58.3,59.55,56.15,58.9,60.18333333,59.73333333
DESERET ,63.16,61.85,66.06666667,61.4,63.18333333,64.71666667,63.33333333,64.58333333,66.48333333,67.1,65.76666667,66.86666667,64.96666667,64.88333333,65.8,66.41666667,64.76666667,64.43333333,64.48333333,64.33333333,66.4,66.15,66.4,67.48333333,67.4,65.98333333,67.65,64.05,67.26666667,67.28333333,67.36666667
ECHO_DAM ,60.2,56.45,60.78333333,57.01666667,58.51666667,59.05,58.56666667,58.11666667,60,60.76666667,59.33333333,60.71666667,58.65,57.96666667,59.03333333,60.53333333,57.65,58.3,58.76666667,59.2,61.45,61.35,61.16666667,61.93333333,61.58333333,60.9,61.91666667,58.33333333,61.36666667,62.91666667,61.06666667
EPHRAIM ,63.85,60.58333333,65.06666667,59.78333333,62.28333333,62.05,61.51666667,61.58333333,64.78,65,63.96666667,65.58333333,61,60.9,60.03333333,60.71666667,56.125,59.075,59.58333333,59.45,61.96666667,61,61.81666667,62.65,62.1,61.31666667,63.08333333,56.16,61.68333333,62.55,63.18333333
ESCALANTE ,64.28333333,63.08333333,66.1,63.78333333,66.08333333,64.91666667,64.06666667,64.1,67.1,67.2,66.7,68.45,62.9,64.73333333,65.55,66.41666667,65.9,65.98333333,65.06666667,64.98333333,67.7,65.6,66.58333333,66.58333333,65.96666667,66.38333333,67.2,63.9,67.23333333,66.66666667,67.35
HANS_FLAT_RANGER_STATION ,65.88333333,64.9,68.45,64.76666667,67.6,66.23333333,66.3,65.43333333,68.81666667,69.06666667,68.35,70.13333333,66.98333333,66.7,67.06666667,68.41666667,65.85,64.88333333,64.11666667,64.66666667,67.66666667,65.78333333,66.15,65.96666667,66.58333333,66.6,68.16666667,64.41666667,68.95,67.5,67.56666667
JENSEN ,62.73333333,60.33333333,64.23333333,60.78333333,62.5,63.7,64.68333333,63.1,64.73333333,65.75,63.45,64.83333333,62.85,63.08333333,63.8,64.75,63.16666667,64.26,63.21666667,63.48333333,65.25,64.52,64.01666667,64.78333333,62.85,61.2,64.78333333,60.96666667,64.03333333,65.8,64.85
KAMAS ,57.75,54.9,59.01666667,55.7,57.42,58.38333333,57.53333333,57.9,59.86666667,58.6,58,60.66666667,57.16,57.14,59,59.84,58.66666667,57.68333333,55.96,57.45,58.7,58.76666667,60,59.31666667,58.68333333,59.36,59.63333333,55.96666667,59.16666667,59.9,59.36666667
KANAB ,68.06666667,66.46666667,69.48333333,65.41666667,67.05,65.8,64.78333333,66.21666667,68.38333333,68.41666667,67.18333333,69.2,66.05,67.06666667,69.11666667,68.82,68.56666667,68.4,68.31666667,67.96666667,70.11666667,68.5,69.4,68.6,68.85,67.9,70.48333333,67.35,71.3,71.92,70.51666667
MANTI ,62.45,59.61666667,63.8,59.55,61.88333333,61.7,60.98333333,61.2,63.15,62.81666667,60.06666667,60.41666667,59.11666667,62.88333333,60.94,61.63333333,59.73333333,61.51666667,61.91666667,58,59.51666667,60.28333333,63.43333333,63.25,61.41666667,62.73333333,64.71666667,60.53333333,64.5,64.93333333,64.88333333
NEPHI ,65.25,61.3,66.31666667,63.03333333,64.75,64.28333333,63.93333333,64.76666667,66.53333333,66.55,65.16666667,68.25,66.43333333,65.84,61.2,67.73333333,64.75,63.58333333,63.88333333,63.7,66.38333333,65.25,65.85,66.83333333,66.56666667,65.01666667,66.76666667,63.26666667,67.33333333,65.56,67.2
PROVO_BYU ,68,65.41666667,69.71666667,65.9,67.7,67.68333333,67.2,67.03333333,68.76666667,69.83333333,67.43333333,69.55,67.35,67.38333333,67.85,69.38333333,67.01666667,66.78333333,67.56666667,67.23333333,69.66666667,68.73333333,69.85,70.35,70.16666667,69.15,70.78333333,66.8,70.16666667,70.51666667,70.11666667
RICHMOND ,63.36666667,59.53333333,65,60.71666667,62.56666667,62.58333333,62.2,62.18333333,64.26666667,65.16,62.68333333,65.21666667,62.51666667,62.2,62.85,64.33333333,62.2,61.6,61.48333333,61.88333333,64.68333333,64.03333333,63.31666667,64.83333333,61.625,62.33333333,64.31666667,60.01666667,63.31666667,64.91666667,63.85
SALT_LAKE_CITY_INTERNATIONAL_AIRPORT ,68.48333333,64.58333333,70.08333333,65.46666667,68.35,67.95,66.26666667,66.3,68.4,69.68333333,67.46666667,69.93333333,67.15,67.26666667,68.28333333,69.88333333,67.68333333,67.06666667,67.06666667,66.85,70.71666667,71.25,69.01666667,70.61666667,71.33333333,70.73333333,70.65,67.51666667,70.71666667,71.45,72.75
TOOELE ,65.33333333,62.76666667,67.55,64.38,68.56,66.65,65.73333333,67,69.55,70.86666667,68.45,70.91666667,67.31666667,67.18333333,68.76666667,70.21666667,67.53333333,67.35,67.23333333,66.93333333,69.08333333,67.06666667,67.45,68.26666667,67.61666667,66.11666667,68.55,64.23333333,68.11666667,68.73333333,69.66666667
WANSHIP_DAM ,,54.55,60.2,55.66666667,58.55,59.41666667,58.2,56.68333333,59.2,59.51666667,60.95,61.75,60.21666667,60.46666667,60.51666667,61.96666667,59.63333333,58.63333333,60.03333333,59.63333333,62.51666667,61.53333333,59.51666667,60,59.76666667,58.9,60.26666667,56.66666667,59.81666667,61.01666667,60.1
WOODRUFF ,54.4,51.26666667,55.3,52.11666667,53.6,54.25,54.01666667,53.13333333,55.58,55.71666667,54.3,56.05,53.63333333,53.91666667,55.7,56.8,53.6,52.2,53.55,53.96666667,55.66666667,55.71666667,55.43333333,56.21666667,55.3,54.58333333,55.25,52.38333333,54.91666667,56.96666667,56.76666667
ZION_NATIONAL_PARK ,75.56666667,73.41666667,75.85,73.8,75.06666667,75.55,73.6,75.04,76.85,77.63333333,76.16666667,78.95,76.03333333,74.9,76.31666667,78.03333333,76.66666667,,78.76,75.25,78.65,76.88333333,77.68333333,75.53333333,75.3,75.9,76.98333333,73.23333333,77.28333333,72.625,76.1
