,NAME,1,2,3,4,5,6,7,8,9,10,11,12
6,"ALTON, UT US",41.34,43.03548387,51.74193548,60.22903226,69.65806452,80.83,85.36333333,83.11666667,76.03666667,63.82903226,51.3137931,40.82333333
39,"BLACK ROCK, UT US",42.15483871,48.59032258,60.15806452,67.22258065,76.58064516,87.60645161,94.29677419,91.40645161,82.23225806,68.18709677,54,41.75483871
46,"BLANDING, UT US",41.95483871,46.65806452,56.8,64.61,74.72666667,86.72903226,91.0516129,87.89333333,80.1137931,66.31290323,52.83,41.8516129
49,"BLUFF, UT US",44.66666667,52.69333333,63.91935484,72.54482759,81.88,93.28,96.92333333,93.64516129,85.24516129,70.91034483,56.14516129,44.47419355
54,"BOULDER, UT US",40.50322581,44.47741935,53.84193548,61.03548387,69.55,80.05333333,84.61612903,82.13870968,75.19666667,62.75666667,50.43666667,40.13870968
60,"BOUNTIFUL BENCH, UT US",38,42.55806452,52.43548387,58.75806452,68.82580645,79.68709677,88.49032258,85.90967742,76.07096774,61.85806452,48.19677419,38.18709677
85,"CALLAO, UT US",39.27419355,46.0483871,57.40967742,64.23548387,73.18387097,83.66,91.73225806,90.01612903,80.5,66.01,51.13,40.2
88,"CANYONLANDS THE NECK, UT US",37.26923077,43.38965517,54.60645161,62.39354839,72.79,85.43666667,91.18965517,88.0516129,79.49677419,64.56451613,49.12857143,37.24814815
143,"DEER CREEK DAM, UT US",35.13548387,39.37,49.62258065,57.40666667,66.61612903,77.47666667,86.16,84.39032258,75.90689655,62.42666667,48.33,36.47419355
148,"DESERET, UT US",39.67096774,46.95333333,59.36451613,66.67419355,76.7483871,88.40645161,95.76774194,93.18666667,83.22580645,67.8,52.43448276,39.62580645
163,"ECHO DAM, UT US",34.69354839,39.69354839,51.23870968,58.76451613,68.53548387,79.97096774,88.47096774,86.56129032,77.91935484,63.69032258,47.72580645,34.85333333
175,"EPHRAIM, UT US",36.51034483,42.61,53.96333333,61.20333333,71.74137931,83.95666667,91.6483871,89.23571429,80.00967742,65.51612903,50.89032258,36.7
176,"ESCALANTE, UT US",44.4516129,49.18333333,59.36774194,66.98709677,76.82903226,88.50967742,93.41666667,90.23870968,82.62903226,69.13548387,55.1,44.34516129
221,"HANS FLAT RANGER STATION, UT US",36.74516129,41.65483871,51.45666667,58.98387097,69.41290323,81.98064516,88.26774194,85.10967742,76.56774194,62.06129032,47.98387097,36.68387097
270,"JENSEN, UT US",31.07096774,40.16666667,56.42580645,65.58965517,75.26428571,86.40333333,93.11612903,90.23225806,81.12580645,65.90967742,49.52,33.23225806
275,"KAMAS, UT US",36.76666667,39.96666667,49.49,57.808,67.83571429,78.06923077,86.79642857,84.79655172,75.92333333,61.19677419,46.83225806,36.55555556
276,"KANAB, UT US",49.38709677,53.57741935,62.19354839,69.35666667,78.68666667,89.7516129,93.94,91.26333333,84.71935484,72.17741935,59.11612903,48.28064516
342,"MANTI, UT US",37.02258065,41.8,52.27419355,59.13333333,68.8516129,79.97741935,86.79666667,84.76129032,76.77096774,63.30967742,49.31290323,36.72258065
401,"NEPHI, UT US",38.97096774,43.72333333,55.27741935,62.29333333,71.93666667,83.29310345,91.62413793,89.01612903,79.96774194,65.42580645,50.9516129,38.53870968
471,"PROVO BYU, UT US",41.34516129,47.26129032,58.36451613,65.62903226,75.68387097,87.40967742,95.23870968,92.65806452,83.19354839,68.24516129,53.04516129,41.40322581
482,"RICHMOND, UT US",32.59677419,38.1,50.74193548,59.57666667,69.39677419,80.92068966,91.21290323,89.09677419,78.9483871,62.93870968,46.84666667,33.93870968
509,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",38.76451613,44.26451613,55.19677419,61.79677419,72.53225806,84.43870968,94.06129032,91.5,80.80967742,65.29677419,50.49032258,38.9483871
596,"TOOELE, UT US",39.97741935,45.03548387,55.07096774,62.29310345,72.55517241,83.59032258,92.77419355,90.5,80.49354839,65.08387097,50.06,40.03
630,"WANSHIP DAM, UT US",37.05333333,40.76333333,50.72,58.76896552,68.83870968,80.47419355,89.07419355,87.07096774,78.06666667,63.31,48.37741935,37.11034483
652,"WOODRUFF, UT US",28.55483871,31.70967742,44.45,55.31612903,64.96206897,74.94516129,83.61666667,81.97096774,73.27096774,58.96129032,43.24193548,30.02258065
656,"ZION NATIONAL PARK, UT US",54.76451613,58.20645161,67.06774194,74.08709677,84.4516129,96.23,101.1483871,98.77096774,91.60689655,78.46206897,64.46129032,53.18064516
